filename,title,lang,date,word_count,has_translation,has_commentary,n_ritual_keywords,ritual_keywords
DHARMA_INS12Gilikan.xml,Gilikan (date lost),kaw-Latn,,1110,False,False,7,atīta|samudra|vāra|sapatha|samgat|sīma|hyaṁ
DHARMA_INSIDENK00007.xml,"Dharmasraya A (Padang Roco Amoghapāśa base), 1286 CE",omy-Latn,,128,True,True,6,wuku|nakṣatra|vāra|tithi|saka|śaka
DHARMA_INSIDENK00050.xml,"Pillar from Kota Kapur (N. 50), 608 Śaka",omy-Latn,,270,True,True,1,śaka
DHARMA_INSIDENK00059.xml,Gunung Tua Lokanātha Statue,omy-Latn,,42,True,True,3,vāra|tithi|śaka
DHARMA_INSIDENK00066.xml,"Śrīkṣetra Dedication: Slab from Talang Tuwo (N. 66), 606 Śaka",omy-Latn,,241,True,True,3,nakṣatra|śaka|hyaṁ
DHARMA_INSIDENK00096.xml,"Stela from Bukit Gombak (N. 96), 1278 Śaka",omy-Latn,,236,True,True,2,saka|śaka
DHARMA_INSIDENK00138.xml,"Bronze base for a triad of statuettes (N. 138, ca. 10th c. CE)",omy-Latn,,15,True,True,0,
DHARMA_INSIDENK00186.xml,"Makara of Candi Kedaton (N. 186), 10/11th c. CE",kaw-Latn,,4,True,True,0,
DHARMA_INSIDENK00351.xml,"Foundation of Sarungga's Hermitage (N. 351), 823 Śaka",kaw-Latn,,18,True,False,2,tithi|śaka
DHARMA_INSIDENK00368.xml,Silver plate for the deity at Abhaya,kaw-Latn,,13,True,True,0,
DHARMA_INSIDENK00388.xml,"Silver vase of the deity at Dieng, early 10th c. CE",kaw-Latn,,14,True,True,0,
DHARMA_INSIDENK00396.xml,Silver plate for the deified ancestor at Abhayamukha,kaw-Latn,,11,True,True,0,
DHARMA_INSIDENK00526.xml,Kamalagyan charter (959 Śaka),kaw-Latn,,880,True,True,8,nakṣatra|vāra|sīma|tithi|saka|śaka|hyaṁ|piṇḍa
DHARMA_INSIDENKAbhayananda.xml,Abhayananda (779 Śaka),kaw-Latn,,38,True,True,3,sīma|tithi|śaka
DHARMA_INSIDENKAdanAdan.xml,Adan-Adan (1223 Śaka),kaw-Latn,,1490,True,True,12,wuku|nakṣatra|samudra|sapatha|pūjā|sīma|tithi|saka|śaka|hyaṁ|piṇḍa|pitr
DHARMA_INSIDENKAdulengen.xml,Adulengen,kaw-Latn,,593,False,True,6,pūjā|sīma|tithi|saka|śaka|hyaṁ
DHARMA_INSIDENKAirAsih.xml,Air Asih (between 1177 and 1208 Śaka),kaw-Latn,,277,True,True,5,vāra|pūjā|sīma|hyaṁ|kalpa
DHARMA_INSIDENKAirKali.xml,Air Kali (849-850 Śaka),kaw-Latn,,347,False,False,3,sapatha|saka|hyaṁ
DHARMA_INSIDENKAlasantan.xml,Alasantan,kaw-Latn,,2189,True,True,13,maṅhuri|homa|nakṣatra|samudra|vāra|samgat|sīma|śapatha|tithi|saka|śaka|hyaṁ|piṇḍa
