filename,title,lang,date,word_count,total_keywords,indic,pre_indic,ambiguous,pre_indic_ratio,pre_indic_keywords,has_hyang,has_manhuri,has_wuku
DHARMA_INS12Gilikan.xml,Gilikan (date lost),kaw-Latn,,1110,7,2,1,4,0.143,hyaṁ,True,False,False
DHARMA_INSIDENK00007.xml,"Dharmasraya A (Padang Roco Amoghapāśa base), 1286 CE",omy-Latn,,128,6,5,1,0,0.167,wuku,False,False,True
DHARMA_INSIDENK00050.xml,"Pillar from Kota Kapur (N. 50), 608 Śaka",omy-Latn,,270,1,1,0,0,0.0,,False,False,False
DHARMA_INSIDENK00059.xml,Gunung Tua Lokanātha Statue,omy-Latn,,42,3,3,0,0,0.0,,False,False,False
DHARMA_INSIDENK00066.xml,"Śrīkṣetra Dedication: Slab from Talang Tuwo (N. 66), 606 Śaka",omy-Latn,,241,3,2,1,0,0.333,hyaṁ,True,False,False
DHARMA_INSIDENK00096.xml,"Stela from Bukit Gombak (N. 96), 1278 Śaka",omy-Latn,,236,2,2,0,0,0.0,,False,False,False
DHARMA_INSIDENK00138.xml,"Bronze base for a triad of statuettes (N. 138, ca. 10th c. CE)",omy-Latn,,15,0,0,0,0,0,,False,False,False
DHARMA_INSIDENK00186.xml,"Makara of Candi Kedaton (N. 186), 10/11th c. CE",kaw-Latn,,4,0,0,0,0,0,,False,False,False
DHARMA_INSIDENK00351.xml,"Foundation of Sarungga's Hermitage (N. 351), 823 Śaka",kaw-Latn,,18,2,2,0,0,0.0,,False,False,False
DHARMA_INSIDENK00368.xml,Silver plate for the deity at Abhaya,kaw-Latn,,13,0,0,0,0,0,,False,False,False
DHARMA_INSIDENK00388.xml,"Silver vase of the deity at Dieng, early 10th c. CE",kaw-Latn,,14,0,0,0,0,0,,False,False,False
DHARMA_INSIDENK00396.xml,Silver plate for the deified ancestor at Abhayamukha,kaw-Latn,,11,0,0,0,0,0,,False,False,False
DHARMA_INSIDENK00526.xml,Kamalagyan charter (959 Śaka),kaw-Latn,,880,8,6,1,1,0.125,hyaṁ,True,False,False
DHARMA_INSIDENKAbhayananda.xml,Abhayananda (779 Śaka),kaw-Latn,,38,3,2,0,1,0.0,,False,False,False
DHARMA_INSIDENKAdanAdan.xml,Adan-Adan (1223 Śaka),kaw-Latn,,1490,12,7,2,3,0.167,wuku|hyaṁ,True,False,True
DHARMA_INSIDENKAdulengen.xml,Adulengen,kaw-Latn,,593,6,4,1,1,0.167,hyaṁ,True,False,False
DHARMA_INSIDENKAirAsih.xml,Air Asih (between 1177 and 1208 Śaka),kaw-Latn,,277,5,3,1,1,0.2,hyaṁ,True,False,False
DHARMA_INSIDENKAirKali.xml,Air Kali (849-850 Śaka),kaw-Latn,,347,3,1,1,1,0.333,hyaṁ,True,False,False
DHARMA_INSIDENKAlasantan.xml,Alasantan,kaw-Latn,,2189,13,7,2,4,0.154,maṅhuri|hyaṁ,True,True,False
DHARMA_INSIDENKAmoghapasaPlaqueTropenmuseum.xml,Singasari Amoghapāśa plaque Tropenmuseum,san-Latn,,39,2,2,0,0,0.0,,False,False,False
DHARMA_INSIDENKAnjatan.xml,Anjatan: Foundation Charter of the Amr̥tamaṅgala Monastery,kaw-Latn,,699,5,2,1,2,0.2,hyaṁ,True,False,False
DHARMA_INSIDENKAyamTeas_I.xml,Ayam Teas I (822 Śaka),kaw-Latn,,252,4,3,0,1,0.0,,False,False,False
DHARMA_INSIDENKAyamTeas_II.xml,Charter of Ayam Teas II,kaw-Latn,,188,6,4,0,2,0.0,,False,False,False
DHARMA_INSIDENKAyamTeas_III.xml,"Charter of Ayam Teas III (822 Śaka, 901-01-01)",kaw-Latn,,270,1,1,0,0,0.0,,False,False,False
DHARMA_INSIDENKBalekambang.xml,Prayer for long life of Vijaya (7th c. CE),san-Latn,,22,1,0,1,0,1.0,hyaṁ,True,False,False
DHARMA_INSIDENKBarahasrama.xml,"Barahasrama (837 Śaka, 915-12-14)",kaw-Latn,,730,8,5,1,2,0.125,hyaṁ,True,False,False
DHARMA_INSIDENKBarsahan.xml,Barsahan charter (date lost),kaw-Latn,,500,2,0,0,2,0.0,,False,False,False
DHARMA_INSIDENKBatur.xml,Batur,kaw-Latn,,348,2,0,2,0,1.0,hyaṁ|kabuyutan,True,False,False
DHARMA_INSIDENKBatutulis.xml,Batutulis,osn-Latn,,124,4,2,2,0,0.5,gunung|hyang,True,False,False
DHARMA_INSIDENKBhatari.xml,"Bhatari (829 Śaka, 907-10-07)",unknown,,448,6,3,1,2,0.167,hyaṁ,True,False,False
DHARMA_INSIDENKBorobudurHB021.xml,"Relief label from Borobudur's hidden base, no. 21 (8th c. CE)",san-Latn,,6,0,0,0,0,0,,False,False,False
DHARMA_INSIDENKBorobudurHB024.xml,"Relief label from Borobudur's hidden base, no. 24",san-Latn,,1,0,0,0,0,0,,False,False,False
DHARMA_INSIDENKBorobudurHB029.xml,"Relief label from Borobudur's hidden base, no. 29",san-Latn,,2,0,0,0,0,0,,False,False,False
DHARMA_INSIDENKBorobudurHB043.xml,"Relief label from Borobudur's hidden base, no. 43 (8th c. CE)",san-Latn,,1,0,0,0,0,0,,False,False,False
DHARMA_INSIDENKBorobudurHB121A.xml,"Relief label from Borobudur's hidden base, no. 121A (8th c. CE)",san-Latn,,1,0,0,0,0,0,,False,False,False
DHARMA_INSIDENKBorobudurHB121B.xml,"Relief label from Borobudur's hidden base, no. 121B (8th c. CE)",san-Latn,,1,0,0,0,0,0,,False,False,False
DHARMA_INSIDENKBorobudurHB122.xml,"Relief label from Borobudur's hidden base, no. 122 (8th c. CE)",san-Latn,,1,0,0,0,0,0,,False,False,False
DHARMA_INSIDENKBorobudurHB123.xml,"Relief label from Borobudur's hidden base, no. 123 (8th c. CE)",san-Latn,,1,0,0,0,0,0,,False,False,False
DHARMA_INSIDENKBorobudurHB124A.xml,"Relief label from Borobudur's hidden base, no. 124A (8th c. CE)",san-Latn,,1,0,0,0,0,0,,False,False,False
DHARMA_INSIDENKBorobudurHB124B.xml,"Relief label from Borobudur's hidden base, no. 124B (8th c. CE)",san-Latn,,1,0,0,0,0,0,,False,False,False
DHARMA_INSIDENKBorobudurHB125A.xml,"Relief label from Borobudur's hidden base, no. 125A (8th c. CE)",san-Latn,,1,0,0,0,0,0,,False,False,False
DHARMA_INSIDENKBorobudurHB125B.xml,"Relief label from Borobudur's hidden base, no. 125B (8th c. CE)",san-Latn,,1,0,0,0,0,0,,False,False,False
DHARMA_INSIDENKBorobudurHB126A.xml,"Relief label from Borobudur's hidden base, no. 126A (8th c. CE)",san-Latn,,2,0,0,0,0,0,,False,False,False
DHARMA_INSIDENKBorobudurHB126B.xml,"Relief label from Borobudur's hidden base, no. 126B (8th c. CE)",san-Latn,,1,1,1,0,0,0.0,,False,False,False
DHARMA_INSIDENKBorobudurHB127A.xml,"Relief label from Borobudur's hidden base, no. 127A (8th c. CE)",san-Latn,,1,0,0,0,0,0,,False,False,False
DHARMA_INSIDENKBorobudurHB127B.xml,"Relief label from Borobudur's hidden base, no. 127B (8th c. CE)",san-Latn,,3,0,0,0,0,0,,False,False,False
DHARMA_INSIDENKBorobudurHB128.xml,"Relief label from Borobudur's hidden base, no. 128 (8th c. CE)",san-Latn,,3,0,0,0,0,0,,False,False,False
DHARMA_INSIDENKBorobudurHB129.xml,"Relief label from Borobudur's hidden base, no. 129 (8th c. CE)",san-Latn,,1,0,0,0,0,0,,False,False,False
DHARMA_INSIDENKBorobudurHB130.xml,"Relief label from Borobudur's hidden base, no. 130 (8th c. CE)",san-Latn,,1,1,1,0,0,0.0,,False,False,False
